term	valence	score	raw-score
bloodthirsty	negative	-0.4925	3.03
psychosomatic	negative	-0.4925	3.03
robbery	negative	-0.4925	3.03
schizophrenia	negative	-0.4925	3.03
thug	negative	-0.4925	3.03
autopsy	negative	-0.49	3.04
contaminated	negative	-0.49	3.04
serum	negative	-0.49	3.04
corpse	negative	-0.4875	3.05
innocent	negative	-0.4875	3.05
interrogate	negative	-0.4875	3.05
itchy	negative	-0.4875	3.05
lymphocyte	negative	-0.4875	3.05
narcotic	negative	-0.4875	3.05
allergen	negative	-0.485	3.06
germ	negative	-0.485	3.06
irritate	negative	-0.485	3.06
pus	negative	-0.485	3.06
survivor	negative	-0.485	3.06
carcinogen	negative	-0.4825	3.07
endemic	negative	-0.4825	3.07
heroin	negative	-0.4825	3.07
irritation	negative	-0.4825	3.07
lesion	negative	-0.4825	3.07
offender	negative	-0.4825	3.07
shatter	negative	-0.4825	3.07
depressed	negative	-0.48	3.08
edema	negative	-0.48	3.08
glaucoma	negative	-0.48	3.08
irritability	negative	-0.48	3.08
jittery	negative	-0.48	3.08
pickpocket	negative	-0.48	3.08
psychotic	negative	-0.48	3.08
shock	negative	-0.48	3.08
commit	negative	-0.4775	3.09
coward	negative	-0.4775	3.09
goad	negative	-0.4775	3.09
inmate	negative	-0.4775	3.09
marijuana	negative	-0.4775	3.09
paranoia	negative	-0.4775	3.09
rubella	negative	-0.4775	3.09
violence	negative	-0.4775	3.09
atherosclerosis	negative	-0.475	3.1
blindness	negative	-0.475	3.1
crime	negative	-0.475	3.1
dead	negative	-0.475	3.1
dizziness	negative	-0.475	3.1
flee	negative	-0.475	3.1
incurable	negative	-0.475	3.1
kidnapper	negative	-0.475	3.1
lurid	negative	-0.475	3.1
penitentiary	negative	-0.475	3.1
sabotage	negative	-0.475	3.1
sickle	negative	-0.475	3.1
abuser	negative	-0.4725	3.11
bronchial	negative	-0.4725	3.11
damaging	negative	-0.4725	3.11
gambling	negative	-0.4725	3.11
microbial	negative	-0.4725	3.11
misjudge	negative	-0.4725	3.11
offence	negative	-0.4725	3.11
parasitic	negative	-0.4725	3.11
pusher	negative	-0.4725	3.11
rid	negative	-0.4725	3.11
ringworm	negative	-0.4725	3.11
staphylococcus	negative	-0.4725	3.11
suffering	negative	-0.4725	3.11
trauma	negative	-0.4725	3.11
uncontrollable	negative	-0.4725	3.11
upset	negative	-0.4725	3.11
worsen	negative	-0.4725	3.11
coffin	negative	-0.47	3.12
detention	negative	-0.47	3.12
microbiology	negative	-0.47	3.12
paranoid	negative	-0.47	3.12
poison	negative	-0.47	3.12
poisonous	negative	-0.47	3.12
bronchitis	negative	-0.4675	3.13
cop	negative	-0.4675	3.13
desperate	negative	-0.4675	3.13
haemophilia	negative	-0.4675	3.13
harass	negative	-0.4675	3.13
hysteria	negative	-0.4675	3.13
illegal	negative	-0.4675	3.13
inflammatory	negative	-0.4675	3.13
diseased	negative	-0.465	3.14
euphoria	negative	-0.465	3.14
extermination	negative	-0.465	3.14
hallucinogen	negative	-0.465	3.14
host	negative	-0.465	3.14
infantile	negative	-0.465	3.14
irreversible	negative	-0.465	3.14
cocaine	negative	-0.4625	3.15
hallucination	negative	-0.4625	3.15
imprisonment	negative	-0.4625	3.15
strangle	negative	-0.4625	3.15
vomiting	negative	-0.4625	3.15
headache	negative	-0.46	3.16
senile	negative	-0.46	3.16
acquit	negative	-0.4575	3.17
anaemia	negative	-0.4575	3.17
asthmatic	negative	-0.4575	3.17
chemotherapy	negative	-0.4575	3.17
detoxification	negative	-0.4575	3.17
methadone	negative	-0.4575	3.17
sleeplessness	negative	-0.4575	3.17
suspect	negative	-0.4575	3.17
abnormally	negative	-0.455	3.18
abuse	negative	-0.455	3.18
coroner	negative	-0.455	3.18
inflame	negative	-0.455	3.18
lethal	negative	-0.455	3.18
numbness	negative	-0.455	3.18
schizophrenic	negative	-0.455	3.18
addictive	negative	-0.4525	3.19
curse	negative	-0.4525	3.19
delusion	negative	-0.4525	3.19
forensic	negative	-0.4525	3.19
guilty	negative	-0.4525	3.19
harmful	negative	-0.4525	3.19
illegally	negative	-0.4525	3.19
mild	negative	-0.4525	3.19
susceptibility	negative	-0.4525	3.19
syphilis	negative	-0.4525	3.19
deterioration	negative	-0.45	3.2
disorientate	negative	-0.45	3.2
inoculation	negative	-0.45	3.2
kill	negative	-0.45	3.2
pesticide	negative	-0.45	3.2
psilocybin	negative	-0.45	3.2
shoplift	negative	-0.45	3.2
sickness	negative	-0.45	3.2
tiredness	negative	-0.45	3.2
addiction	negative	-0.4475	3.21
chlorinate	negative	-0.4475	3.21
convict	negative	-0.4475	3.21
exterminate	negative	-0.4475	3.21
mescaline	negative	-0.4475	3.21
phobia	negative	-0.4475	3.21
toxic	negative	-0.445	3.22
cancer	negative	-0.4425	3.23
coma	negative	-0.4425	3.23
diabetes	negative	-0.4425	3.23
gruesome	negative	-0.4425	3.23
hardening	negative	-0.4425	3.23
ulcer	negative	-0.4425	3.23
unconsciousness	negative	-0.4425	3.23
contaminate	negative	-0.44	3.24
disorientation	negative	-0.44	3.24
dose	negative	-0.44	3.24
heal	negative	-0.44	3.24
implicate	negative	-0.44	3.24
menace	negative	-0.44	3.24
suffocation	negative	-0.44	3.24
tranquilizer	negative	-0.44	3.24
amphetamine	negative	-0.4375	3.25
arthritis	negative	-0.4375	3.25
attempted	negative	-0.4375	3.25
byproduct	negative	-0.4375	3.25
chronically	negative	-0.4375	3.25
deficiency	negative	-0.4375	3.25
epilepsy	negative	-0.4375	3.25
interrogation	negative	-0.4375	3.25
normal	negative	-0.4375	3.25
punishable	negative	-0.4375	3.25
unarmed	negative	-0.4375	3.25
warrant	negative	-0.4375	3.25
abusive	negative	-0.435	3.26
anarchist	negative	-0.435	3.26
bacteriology	negative	-0.435	3.26
diagnose	negative	-0.435	3.26
dosage	negative	-0.435	3.26
rioter	negative	-0.435	3.26
routinely	negative	-0.435	3.26
unpleasant	negative	-0.435	3.26
aggressor	negative	-0.4325	3.27
blister	negative	-0.4325	3.27
burglary	negative	-0.4325	3.27
destroy	negative	-0.4325	3.27
drug	negative	-0.4325	3.27
helpless	negative	-0.4325	3.27
infamous	negative	-0.4325	3.27
kidnapping	negative	-0.4325	3.27
maim	negative	-0.4325	3.27
respiratory	negative	-0.4325	3.27
unsanitary	negative	-0.4325	3.27
barbiturate	negative	-0.43	3.28
espionage	negative	-0.43	3.28
horde	negative	-0.43	3.28
impotent	negative	-0.43	3.28
penalty	negative	-0.43	3.28
predispose	negative	-0.43	3.28
spray	negative	-0.43	3.28
tension	negative	-0.43	3.28
tremor	negative	-0.43	3.28
abused	negative	-0.4275	3.29
antitoxin	negative	-0.4275	3.29
depress	negative	-0.4275	3.29
diabetic	negative	-0.4275	3.29
harm	negative	-0.4275	3.29
injure	negative	-0.4275	3.29
louse	negative	-0.4275	3.29
miserable	negative	-0.4275	3.29
overdose	negative	-0.4275	3.29
protozoan	negative	-0.4275	3.29
break-in	negative	-0.425	3.3
codeine	negative	-0.425	3.3
criminal	negative	-0.425	3.3
gangster	negative	-0.425	3.3
intoxication	negative	-0.425	3.3
painless	negative	-0.425	3.3
pep	negative	-0.425	3.3
prosecutor	negative	-0.425	3.3
spasm	negative	-0.425	3.3
terrorize	negative	-0.425	3.3
accuser	negative	-0.4225	3.31
alibi	negative	-0.4225	3.31
anger	negative	-0.4225	3.31
defect	negative	-0.4225	3.31
drowsiness	negative	-0.4225	3.31
guilt	negative	-0.4225	3.31
hypertension	negative	-0.4225	3.31
painful	negative	-0.4225	3.31
slur	negative	-0.4225	3.31
untrue	negative	-0.4225	3.31
aspirin	negative	-0.42	3.32
assault	negative	-0.42	3.32
avenge	negative	-0.42	3.32
cessation	negative	-0.42	3.32
chancre	negative	-0.42	3.32
dependence	negative	-0.42	3.32
medically	negative	-0.42	3.32
pain	negative	-0.42	3.32
penicillin	negative	-0.42	3.32
sedative	negative	-0.42	3.32
stimulant	negative	-0.42	3.32
unarm	negative	-0.42	3.32
vile	negative	-0.42	3.32
addict	negative	-0.4175	3.33
buildup	negative	-0.4175	3.33
frightening	negative	-0.4175	3.33
humiliation	negative	-0.4175	3.33
indict	negative	-0.4175	3.33
inoculate	negative	-0.4175	3.33
insecticide	negative	-0.4175	3.33
morphine	negative	-0.4175	3.33
abnormality	negative	-0.415	3.34
dangerously	negative	-0.415	3.34
first-degree	negative	-0.415	3.34
outburst	negative	-0.415	3.34
relieve	negative	-0.415	3.34
terror	negative	-0.415	3.34
wrongdoing	negative	-0.415	3.34
accuse	negative	-0.4125	3.35
cope	negative	-0.4125	3.35
coronary	negative	-0.4125	3.35
damned	negative	-0.4125	3.35
delirium	negative	-0.4125	3.35
demonstrator	negative	-0.4125	3.35
dependency	negative	-0.4125	3.35
escape	negative	-0.4125	3.35
inability	negative	-0.4125	3.35
junkie	negative	-0.4125	3.35
nitroglycerin	negative	-0.4125	3.35
patrol	negative	-0.4125	3.35
scar	negative	-0.4125	3.35
conspirator	negative	-0.41	3.36
decency	negative	-0.41	3.36
dread	negative	-0.41	3.36
fume	negative	-0.41	3.36
intravenous	negative	-0.41	3.36
looting	negative	-0.41	3.36
officer	negative	-0.41	3.36
trial	negative	-0.41	3.36
bomb	negative	-0.4075	3.37
epileptic	negative	-0.4075	3.37
fallout	negative	-0.4075	3.37
kidnap	negative	-0.4075	3.37
law-enforcement	negative	-0.4075	3.37
rioting	negative	-0.4075	3.37
tolerance	negative	-0.4075	3.37
unjustified	negative	-0.4075	3.37
witness	negative	-0.4075	3.37
abate	negative	-0.405	3.38
allegedly	negative	-0.405	3.38
counterattack	negative	-0.405	3.38
horrify	negative	-0.405	3.38
impending	negative	-0.405	3.38
misery	negative	-0.405	3.38
plea	negative	-0.405	3.38
suspected	negative	-0.405	3.38
vulnerability	negative	-0.405	3.38
abandonment	negative	-0.4025	3.39
coca	negative	-0.4025	3.39
depressant	negative	-0.4025	3.39
hideous	negative	-0.4025	3.39
horrible	negative	-0.4025	3.39
mucous	negative	-0.4025	3.39
nicotine	negative	-0.4025	3.39
pill	negative	-0.4025	3.39
preventive	negative	-0.4025	3.39
reckless	negative	-0.4025	3.39
savagely	negative	-0.4025	3.39
wretch	negative	-0.4025	3.39
accusation	negative	-0.4	3.4
cure	negative	-0.4	3.4
mental	negative	-0.4	3.4
palate	negative	-0.4	3.4
recover	negative	-0.4	3.4
provoke	negative	-0.3975	3.41
shackle	negative	-0.3975	3.41
terrorism	negative	-0.3975	3.41
unexplained	negative	-0.3975	3.41
ailment	negative	-0.395	3.42
atrocity	negative	-0.395	3.42
craving	negative	-0.395	3.42
fang	negative	-0.395	3.42
self-defeat	negative	-0.395	3.42
tonsil	negative	-0.395	3.42
treat	negative	-0.395	3.42
fainting	negative	-0.3925	3.43
gastrointestinal	negative	-0.3925	3.43
herpes	negative	-0.3925	3.43
hostage	negative	-0.3925	3.43
incinerator	negative	-0.3925	3.43
inflict	negative	-0.3925	3.43
mangle	negative	-0.3925	3.43
nightmare	negative	-0.3925	3.43
prevent	negative	-0.3925	3.43
steal	negative	-0.3925	3.43
theft	negative	-0.3925	3.43
weapon	negative	-0.3925	3.43
disaster	negative	-0.39	3.44
hoodlum	negative	-0.39	3.44
hurl	negative	-0.39	3.44
intimidate	negative	-0.39	3.44
monoxide	negative	-0.39	3.44
psychotherapy	negative	-0.39	3.44
recombinant	negative	-0.39	3.44
accidental	negative	-0.3875	3.45
all-out	negative	-0.3875	3.45
cowardice	negative	-0.3875	3.45
injury	negative	-0.3875	3.45
intestinal	negative	-0.3875	3.45
policeman	negative	-0.3875	3.45
pollution	negative	-0.3875	3.45
punishment	negative	-0.3875	3.45
revenge	negative	-0.3875	3.45
stress	negative	-0.3875	3.45
withdrawal	negative	-0.3875	3.45
attacker	negative	-0.385	3.46
caffeine	negative	-0.385	3.46
disturbed	negative	-0.385	3.46
opium	negative	-0.385	3.46
stench	negative	-0.385	3.46
therapy	negative	-0.385	3.46
bail	negative	-0.3825	3.47
bombing	negative	-0.3825	3.47
carcinogenic	negative	-0.3825	3.47
defendant	negative	-0.3825	3.47
deformity	negative	-0.3825	3.47
devastation	negative	-0.3825	3.47
elation	negative	-0.3825	3.47
escalate	negative	-0.3825	3.47
hatred	negative	-0.3825	3.47
incidence	negative	-0.3825	3.47
infirmity	negative	-0.3825	3.47
jury	negative	-0.3825	3.47
rob	negative	-0.3825	3.47
slaughter	negative	-0.3825	3.47
two-bit	negative	-0.3825	3.47
arsenal	negative	-0.38	3.48
impairment	negative	-0.38	3.48
massacre	negative	-0.38	3.48
palsy	negative	-0.38	3.48
testify	negative	-0.38	3.48
throes	negative	-0.38	3.48
courtroom	negative	-0.3775	3.49
cripple	negative	-0.3775	3.49
deductible	negative	-0.3775	3.49
delirious	negative	-0.3775	3.49
destruction	negative	-0.3775	3.49
dissident	negative	-0.3775	3.49
explosion	negative	-0.3775	3.49
improperly	negative	-0.3775	3.49
lawsuit	negative	-0.3775	3.49
pollutant	negative	-0.3775	3.49
riot	negative	-0.3775	3.49
sweaty	negative	-0.3775	3.49
wanton	negative	-0.3775	3.49
wound	negative	-0.3775	3.49
beriberi	negative	-0.375	3.5
bloody	negative	-0.375	3.5
devastate	negative	-0.375	3.5
improper	negative	-0.375	3.5
insurer	negative	-0.375	3.5
landfill	negative	-0.375	3.5
panic	negative	-0.375	3.5
afflict	negative	-0.3725	3.51
appetite	negative	-0.3725	3.51
bereave	negative	-0.3725	3.51
burglar	negative	-0.3725	3.51
casualty	negative	-0.3725	3.51
catastrophic	negative	-0.3725	3.51
insult	negative	-0.3725	3.51
juror	negative	-0.3725	3.51
long-last	negative	-0.3725	3.51
rupture	negative	-0.3725	3.51
violation	negative	-0.3725	3.51
adrenalin	negative	-0.37	3.52
angry	negative	-0.37	3.52
anxiety	negative	-0.37	3.52
bleeding	negative	-0.37	3.52
coenzyme	negative	-0.37	3.52
depression	negative	-0.37	3.52
herbicide	negative	-0.37	3.52
illness	negative	-0.37	3.52
injured	negative	-0.37	3.52
misdemeanour	negative	-0.37	3.52
probation	negative	-0.37	3.52
second-degree	negative	-0.37	3.52
treatment	negative	-0.37	3.52
tumultuous	negative	-0.37	3.52
agony	negative	-0.3675	3.53
biodegradable	negative	-0.3675	3.53
guerrilla	negative	-0.3675	3.53
impair	negative	-0.3675	3.53
misuse	negative	-0.3675	3.53
protest	negative	-0.3675	3.53
annihilation	negative	-0.365	3.54
bleed	negative	-0.365	3.54
bunker	negative	-0.365	3.54
continuance	negative	-0.365	3.54
destructive	negative	-0.365	3.54
dislocation	negative	-0.365	3.54
distress	negative	-0.365	3.54
drunk	negative	-0.365	3.54
explode	negative	-0.365	3.54
healing	negative	-0.365	3.54
intoxicate	negative	-0.365	3.54
nitrite	negative	-0.365	3.54
regimen	negative	-0.365	3.54
vengeance	negative	-0.365	3.54
ill	negative	-0.3625	3.55
oppressor	negative	-0.3625	3.55
outrage	negative	-0.3625	3.55
psychiatrist	negative	-0.3625	3.55
redness	negative	-0.3625	3.55
animosity	negative	-0.36	3.56
anti-communist	negative	-0.36	3.56
bodily	negative	-0.36	3.56
cease-fire	negative	-0.36	3.56
confession	negative	-0.36	3.56
cruel	negative	-0.36	3.56
felony	negative	-0.36	3.56
hazard	negative	-0.36	3.56
imprison	negative	-0.36	3.56
lunatic	negative	-0.36	3.56
malocclusion	negative	-0.36	3.56
mishap	negative	-0.36	3.56
obstruction	negative	-0.36	3.56
prescribe	negative	-0.36	3.56
reassurance	negative	-0.36	3.56
spleen	negative	-0.36	3.56
sympathizer	negative	-0.36	3.56
terminally	negative	-0.36	3.56
terrorist	negative	-0.36	3.56
congestion	negative	-0.3575	3.57
corporal	negative	-0.3575	3.57
dangerous	negative	-0.3575	3.57
drifter	negative	-0.3575	3.57
fearful	negative	-0.3575	3.57
grief	negative	-0.3575	3.57
grieve	negative	-0.3575	3.57
juvenile	negative	-0.3575	3.57
prevention	negative	-0.3575	3.57
punitive	negative	-0.3575	3.57
sympathize	negative	-0.3575	3.57
uncomfortable	negative	-0.3575	3.57
venom	negative	-0.3575	3.57
belligerent	negative	-0.355	3.58
confess	negative	-0.355	3.58
cover-up	negative	-0.355	3.58
cyst	negative	-0.355	3.58
disinfection	negative	-0.355	3.58
junta	negative	-0.355	3.58
sable	negative	-0.355	3.58
shah	negative	-0.355	3.58
shoddy	negative	-0.355	3.58
sinus	negative	-0.355	3.58
subside	negative	-0.355	3.58
bleeder	negative	-0.3525	3.59
blindly	negative	-0.3525	3.59
bury	negative	-0.3525	3.59
combat	negative	-0.3525	3.59
confinement	negative	-0.3525	3.59
dirty	negative	-0.3525	3.59
enraged	negative	-0.3525	3.59
hateful	negative	-0.3525	3.59
injection	negative	-0.3525	3.59
no-fault	negative	-0.3525	3.59
stricken	negative	-0.3525	3.59
tsetse	negative	-0.3525	3.59
vampire	negative	-0.3525	3.59
arresting	negative	-0.35	3.6
coli	negative	-0.35	3.6
discomfort	negative	-0.35	3.6
drunkenness	negative	-0.35	3.6
epinephrine	negative	-0.35	3.6
nonsmoker	negative	-0.35	3.6
pathologist	negative	-0.35	3.6
plaintiff	negative	-0.35	3.6
plasmodium	negative	-0.35	3.6
rehabilitate	negative	-0.35	3.6
smash	negative	-0.35	3.6
soot	negative	-0.35	3.6
throat	negative	-0.35	3.6
airway	negative	-0.3475	3.61
anaesthetic	negative	-0.3475	3.61
cowardly	negative	-0.3475	3.61
effect	negative	-0.3475	3.61
flog	negative	-0.3475	3.61
ghetto	negative	-0.3475	3.61
periodontal	negative	-0.3475	3.61
prosecute	negative	-0.3475	3.61
retribution	negative	-0.3475	3.61
smoker	negative	-0.3475	3.61
smoking	negative	-0.3475	3.61
strike	negative	-0.3475	3.61
thief	negative	-0.3475	3.61
unpleasantness	negative	-0.3475	3.61
urinary	negative	-0.3475	3.61
verdict	negative	-0.3475	3.61
warhead	negative	-0.3475	3.61
wreckage	negative	-0.3475	3.61
bitterly	negative	-0.345	3.62
extraction	negative	-0.345	3.62
leper	negative	-0.345	3.62
madman	negative	-0.345	3.62
over-the-counter	negative	-0.345	3.62
scared	negative	-0.345	3.62
subpoena	negative	-0.345	3.62
treason	negative	-0.345	3.62
assassination	negative	-0.3425	3.63
blame	negative	-0.3425	3.63
bronchus	negative	-0.3425	3.63
choke	negative	-0.3425	3.63
devastating	negative	-0.3425	3.63
disrupt	negative	-0.3425	3.63
hypnosis	negative	-0.3425	3.63
inversion	negative	-0.3425	3.63
pest	negative	-0.3425	3.63
rampage	negative	-0.3425	3.63
severeness	negative	-0.3425	3.63
swear	negative	-0.3425	3.63
vomit	negative	-0.3425	3.63
alarming	negative	-0.34	3.64
asbestos	negative	-0.34	3.64
damaged	negative	-0.34	3.64
dire	negative	-0.34	3.64
pistol	negative	-0.34	3.64
rage	negative	-0.34	3.64
smog	negative	-0.34	3.64
stomachache	negative	-0.34	3.64
threat	negative	-0.34	3.64
dispose	negative	-0.3375	3.65
emaciate	negative	-0.3375	3.65
gonorrhea	negative	-0.3375	3.65
horror	negative	-0.3375	3.65
punish	negative	-0.3375	3.65
re-elect	negative	-0.3375	3.65
unhurt	negative	-0.3375	3.65
bullet	negative	-0.335	3.66
carelessness	negative	-0.335	3.66
coverage	negative	-0.335	3.66
haemorrhage	negative	-0.335	3.66
harry	negative	-0.335	3.66
infest	negative	-0.335	3.66
placebo	negative	-0.335	3.66
quinine	negative	-0.335	3.66
troubled	negative	-0.335	3.66
unable	negative	-0.335	3.66
unclean	negative	-0.335	3.66
venereal	negative	-0.335	3.66
anaesthesia	negative	-0.3325	3.67
armoury	negative	-0.3325	3.67
comrade	negative	-0.3325	3.67
havoc	negative	-0.3325	3.67
hypnotic	negative	-0.3325	3.67
lawbreaker	negative	-0.3325	3.67
reprimand	negative	-0.3325	3.67
ruptured	negative	-0.3325	3.67
stringent	negative	-0.3325	3.67
takeover	negative	-0.3325	3.67
taunt	negative	-0.3325	3.67
terrible	negative	-0.3325	3.67
antiseptic	negative	-0.33	3.68
bolster	negative	-0.33	3.68
detain	negative	-0.33	3.68
diagnosis	negative	-0.33	3.68
feces	negative	-0.33	3.68
polluted	negative	-0.33	3.68
prescription	negative	-0.33	3.68
reopen	negative	-0.33	3.68
resuscitation	negative	-0.33	3.68
smokestack	negative	-0.33	3.68
swollen	negative	-0.33	3.68
bewilderment	negative	-0.3275	3.69
deaden	negative	-0.3275	3.69
disastrous	negative	-0.3275	3.69
flora	negative	-0.3275	3.69
fluoridation	negative	-0.3275	3.69
grave	negative	-0.3275	3.69
impure	negative	-0.3275	3.69
ingest	negative	-0.3275	3.69
intentional	negative	-0.3275	3.69
jaundice	negative	-0.3275	3.69
mucus	negative	-0.3275	3.69
sterile	negative	-0.3275	3.69
suppress	negative	-0.3275	3.69
testimony	negative	-0.3275	3.69
unhealthy	negative	-0.3275	3.69
accident	negative	-0.325	3.7
afire	negative	-0.325	3.7
agar	negative	-0.325	3.7
agent	negative	-0.325	3.7
anguish	negative	-0.325	3.7
artillery	negative	-0.325	3.7
attorney	negative	-0.325	3.7
bluntly	negative	-0.325	3.7
compost	negative	-0.325	3.7
destroyer	negative	-0.325	3.7
emotional	negative	-0.325	3.7
faulty	negative	-0.325	3.7
innocence	negative	-0.325	3.7
meninx	negative	-0.325	3.7
missile	negative	-0.325	3.7
neglected	negative	-0.325	3.7
nervousness	negative	-0.325	3.7
pend	negative	-0.325	3.7
platoon	negative	-0.325	3.7
ravage	negative	-0.325	3.7
runaway	negative	-0.325	3.7
shudder	negative	-0.325	3.7
biocide	negative	-0.3225	3.71
euphemism	negative	-0.3225	3.71
exhaustion	negative	-0.3225	3.71
immobilize	negative	-0.3225	3.71
inhale	negative	-0.3225	3.71
