term	valence
innocent	positive
innovate	positive
innovative	positive
inquisitive	positive
inseparable	positive
insight	positive
insistent	positive
inspiration	positive
inspirational	positive
inspire	positive
instinctive	positive
integrity	positive
intellect	positive
intellectual	positive
intelligence	positive
intelligent	positive
intelligible	positive
intercede	positive
intercourse	positive
interest	positive
interested	positive
interpose	positive
intimacy	positive
intimate	positive
intricate	positive
intrigue	positive
invaluable	positive
inventor	positive
invincible	positive
invitation	positive
invite	positive
invulnerable	positive
irresistible	positive
jest	positive
join	positive
jointly	positive
joke	positive
jolly	positive
joy	positive
joyful	positive
jubilant	positive
jubilee	positive
just	positive
justice	positive
justifiably	positive
justification	positive
justify	positive
keen	positive
kid	positive
kind	positive
kindness	positive
kiss	positive
know	positive
knowledge	positive
laudable	positive
laugh	positive
laughter	positive
lavish	positive
law	positive
lawful	positive
lead	positive
learn	positive
learner	positive
legal	positive
legitimacy	positive
legitimate	positive
leisure	positive
liberal	positive
liberalism	positive
liberate	positive
liberty	positive
lifelong	positive
light	positive
likable	positive
like	positive
live	positive
lively	positive
logic	positive
logical	positive
longevity	positive
love	positive
loveliness	positive
lovely	positive
lover	positive
loyal	positive
loyalty	positive
lucid	positive
luck	positive
luckily	positive
lucky	positive
lucrative	positive
luminous	positive
lust	positive
luster	positive
lustrous	positive
luxuriant	positive
luxurious	positive
luxury	positive
lyric	positive
lyrical	positive
magical	positive
magnetic	positive
magnificence	positive
magnificent	positive
main	positive
majestic	positive
majesty	positive
major	positive
make	positive
manageable	positive
manly	positive
marital	positive
marriage	positive
marry	positive
marvel	positive
marvelous	positive
masterful	positive
mastery	positive
matchless	positive
mate	positive
matter	positive
mature	positive
maturity	positive
maximize	positive
meaningful	positive
measurable	positive
mediate	positive
meditation	positive
meet	positive
mellow	positive
melody	positive
memorable	positive
mend	positive
mentor	positive
merciful	positive
mercy	positive
merit	positive
meritorious	positive
merrily	positive
merriment	positive
merry	positive
mesh	positive
meticulous	positive
mighty	positive
mild	positive
mind	positive
mindful	positive
minister	positive
mint	positive
miracle	positive
miraculous	positive
mirth	positive
mobility	positive
mobilize	positive
moderate	positive
moderation	positive
modernity	positive
modest	positive
modesty	positive
momentous	positive
monumental	positive
moral	positive
morale	positive
moralistic	positive
morality	positive
motivate	positive
motivated	positive
motivation	positive
motive	positive
multitude	positive
mutual	positive
myriad	positive
natural	positive
navigable	positive
neat	positive
necessarily	positive
negotiate	positive
nice	positive
niche	positive
nimble	positive
nobility	positive
noble	positive
nobleman	positive
noiseless	positive
nominate	positive
non-violence	positive
non-violent	positive
normal	positive
notable	positive
notoriety	positive
nourish	positive
nourishment	positive
novelty	positive
nurse	positive
nurture	positive
nutrient	positive
oasis	positive
obedience	positive
obedient	positive
obey	positive
objective	positive
oblige	positive
obtain	positive
obtainable	positive
offer	positive
offset	positive
onset	positive
onward	positive
open	positive
opportune	positive
opportunity	positive
optimal	positive
optimism	positive
optimistic	positive
optional	positive
order	positive
organize	positive
originality	positive
outgoing	positive
outlive	positive
outright	positive
outrun	positive
outset	positive
outstanding	positive
outwit	positive
overcome	positive
overjoyed	positive
painstaking	positive
palatable	positive
palatial	positive
pamper	positive
paradise	positive
paramount	positive
pardon	positive
particular	positive
partner	positive
partnership	positive
pass	positive
passionate	positive
patience	positive
patient	positive
patriot	positive
patriotic	positive
patron	positive
patronage	positive
pay	positive
peace	positive
peaceable	positive
peaceful	positive
peerless	positive
perfect	positive
perfection	positive
perfectionism	positive
perfectionist	positive
perfume	positive
permission	positive
permit	positive
perseverance	positive
persevere	positive
persuasive	positive
pertinent	positive
picturesque	positive
piety	positive
pinnacle	positive
pious	positive
plain	positive
plausibility	positive
playful	positive
playmate	positive
plaything	positive
pleasant	positive
pleasantry	positive
please	positive
pleased	positive
pleasurable	positive
pleasure	positive
pledge	positive
plentiful	positive
plenty	positive
poetic	positive
poignant	positive
poise	positive
polish	positive
polite	positive
politeness	positive
pomp	positive
popular	positive
popularity	positive
populous	positive
portable	positive
positive	positive
positiveness	positive
positivity	positive
posterity	positive
potency	positive
potent	positive
practicable	positive
practical	positive
praise	positive
prance	positive
precaution	positive
precedent	positive
precept	positive
precious	positive
precise	positive
precision	positive
preeminent	positive
preference	positive
premier	positive
premise	positive
premium	positive
preparatory	positive
prestige	positive
prettily	positive
pretty	positive
priceless	positive
pride	positive
primarily	positive
prime	positive
principal	positive
principle	positive
privacy	positive
privileged	positive
privy	positive
prize	positive
pro	positive
proactive	positive
prodigious	positive
prodigy	positive
productive	positive
productivity	positive
profess	positive
proffer	positive
proficient	positive
profit	positive
profitable	positive
profound	positive
progress	positive
progressive	positive
prolific	positive
prominence	positive
prominent	positive
promise	positive
prompt	positive
promptly	positive
proper	positive
propitious	positive
proprietary	positive
propriety	positive
prosecute	positive
prosper	positive
prosperity	positive
prosperous	positive
protect	positive
protection	positive
protective	positive
protector	positive
proud	positive
provide	positive
providence	positive
prowess	positive
prudence	positive
prudent	positive
punctual	positive
pure	positive
purification	positive
purify	positive
purity	positive
purposeful	positive
purr	positive
quaint	positive
qualify	positive
quality	positive
quench	positive
quicken	positive
radiance	positive
radiant	positive
radiate	positive
rally	positive
rapport	positive
rapt	positive
rapture	positive
rational	positive
rave	positive
readily	positive
real	positive
realistic	positive
realistically	positive
reap	positive
reasonable	positive
reassurance	positive
reassure	positive
receptive	positive
reclaim	positive
recline	positive
recompense	positive
reconcile	positive
reconciliation	positive
recreation	positive
redeem	positive
redemption	positive
reestablish	positive
refine	positive
refinement	positive
refuge	positive
regal	positive
regard	positive
rehabilitation	positive
reinforcement	positive
reinstate	positive
rejoice	positive
relaxation	positive
relevance	positive
relevancy	positive
relevant	positive
reliability	positive
reliable	positive
relief	positive
relieve	positive
religious	positive
relish	positive
remarkable	positive
remarkably	positive
remedy	positive
remodel	positive
renaissance	positive
renewal	positive
renovate	positive
renovation	positive
renown	positive
repair	positive
reparation	positive
repent	positive
repentance	positive
repose	positive
reputable	positive
rescue	positive
resolute	positive
resolve	positive
resolved	positive
resound	positive
resourceful	positive
resourcefulness	positive
respect	positive
respectable	positive
respectful	positive
respite	positive
resplendent	positive
responsibility	positive
responsible	positive
responsive	positive
restful	positive
restoration	positive
restore	positive
resurrect	positive
return	positive
reunion	positive
reunite	positive
revel	positive
revelation	positive
revere	positive
reverence	positive
reverent	positive
reverently	positive
revitalize	positive
revival	positive
revive	positive
reward	positive
rich	positive
riches	positive
richness	positive
right	positive
righteous	positive
righteousness	positive
rightful	positive
ripe	positive
ripen	positive
robust	positive
romance	positive
romantic	positive
romanticize	positive
rosy	positive
round	positive
rouse	positive
sacred	positive
safe	positive
safeguard	positive
safety	positive
sagacity	positive
sage	positive
saint	positive
salutary	positive
salutation	positive
salute	positive
salvation	positive
sanctify	positive
sanctuary	positive
sane	positive
sanguine	positive
sanitary	positive
sanity	positive
satisfaction	positive
satisfactorily	positive
satisfactory	positive
satisfy	positive
save	positive
savings	positive
savor	positive
savvy	positive
scamper	positive
scruples	positive
scrupulous	positive
secure	positive
security	positive
selective	positive
self-contained	positive
self-respect	positive
semblance	positive
sensational	positive
sense	positive
sensible	positive
sensitive	positive
sensitivity	positive
serene	positive
serious	positive
seriousness	positive
settle	positive
share	positive
shelter	positive
shield	positive
shiny	positive
shrewd	positive
shrewdness	positive
significance	positive
significant	positive
signify	positive
simplicity	positive
simplify	positive
sincere	positive
sincerity	positive
skill	positive
skillful	positive
sleek	positive
smart	positive
smile	positive
smitten	positive
sober	positive
sociable	positive
softness	positive
solace	positive
solution	positive
soothe	positive
sophisticated	positive
sought	positive
sound	positive
soundness	positive
spare	positive
sparkle	positive
special	positive
spectacular	positive
speedily	positive
splendid	positive
splendor	positive
spotless	positive
sprightly	positive
squarely	positive
stability	positive
stabilize	positive
stable	positive
stand	positive
standardize	positive
staple	positive
stately	positive
statuesque	positive
staunch	positive
staunchness	positive
steadfast	positive
steadfastness	positive
steadiness	positive
steady	positive
stimulate	positive
stimulation	positive
stood	positive
straight	positive
straightforward	positive
strut	positive
stud	positive
studious	positive
stupendous	positive
sturdy	positive
stylish	positive
suave	positive
sublime	positive
subscribe	positive
subscription	positive
subsidize	positive
subsidy	positive
subsist	positive
subsistence	positive
substantiate	positive
subtle	positive
succeed	positive
success	positive
successful	positive
suffice	positive
sufficient	positive
suit	positive
suitable	positive
summit	positive
sumptuous	positive
super	positive
superior	positive
superiority	positive
superlative	positive
support	positive
supportive	positive
supreme	positive
surge	positive
surmise	positive
surmount	positive
surpass	positive
survival	positive
survive	positive
survivor	positive
sweet	positive
sweeten	positive
sweetheart	positive
sweetness	positive
swiftness	positive
swoon	positive
sworn	positive
symbolize	positive
symmetry	positive
sympathetic	positive
sympathize	positive
sympathy	positive
synthesis	positive
tact	positive
tactics	positive
talent	positive
talented	positive
taste	positive
temperance	positive
temperate	positive
tempt	positive
tenacious	positive
tenacity	positive
tenderness	positive
terrific	positive
thank	positive
thankful	positive
therapeutic	positive
thorough	positive
thoughtful	positive
thoughtfulness	positive
thrift	positive
thrifty	positive
thrill	positive
thrive	positive
tingle	positive
togetherness	positive
tolerance	positive
tolerant	positive
tolerate	positive
toleration	positive
topmost	positive
tradition	positive
traditional	positive
train	positive
tranquil	positive
tranquility	positive
travel	positive
treasure	positive
treat	positive
treatise	positive
treaty	positive
tremendous	positive
tribute	positive
triumph	positive
triumphal	positive
triumphant	positive
trophy	positive
TRUE	positive
trust	positive
trustworthiness	positive
trustworthy	positive
truth	positive
truthful	positive
unbound	positive
unbroken	positive
uncommon	positive
understand	positive
understandable	positive
understood	positive
undoubted	positive
undoubtedly	positive
unforgettable	positive
unhurried	positive
unimpeachable	positive
unique	positive
unity	positive
unlimited	positive
unselfish	positive
untouched	positive
upbeat	positive
upfront	positive
upgrade	positive
upheld	positive
uphold	positive
uplift	positive
uppermost	positive
upright	positive
upside	positive
upward	positive
usable	positive
useful	positive
usefulness	positive
utilitarian	positive
utilization	positive
utilize	positive
uttermost	positive
valiant	positive
valid	positive
validity	positive
valor	positive
valuable	positive
value	positive
vanquish	positive
vastness	positive
venerable	positive
venerate	positive
verification	positive
verify	positive
veritable	positive
versatile	positive
versatility	positive
viability	positive
viable	positive
victorious	positive
vigilance	positive
vigilant	positive
virtue	positive
virtuous	positive
visionary	positive
visualization	positive
vitality	positive
vivacious	positive
vivid	positive
voluntary	positive
vouchsafe	positive
warm	positive
warmhearted	positive
warmth	positive
welcome	positive
welfare	positive
well	positive
whimsical	positive
wholesome	positive
willful	positive
willing	positive
willingness	positive
wisdom	positive
wise	positive
witty	positive
wonder	positive
wonderful	positive
wondrous	positive
woo	positive
workable	positive
workmanship	positive
world-famous	positive
worth	positive
worth-while	positive
worthiness	positive
worthy	positive
zenith	positive
zest	positive
abandon	negative
abandonment	negative
abate	negative
abdicate	negative
abhor	negative
abject	negative
abnormal	negative
abolish	negative
abominable	negative
abrasive	negative
abrupt	negative
abscond	negative
absence	negative
absent	negative
absent-minded	negative
absentee	negative
absurd	negative
absurdity	negative
abuse	negative
abyss	negative
accident	negative
accost	negative
accursed	negative
accusation	negative
accuse	negative
ache	negative
acrimonious	negative
acrimony	negative
addict	negative
addiction	negative
admonish	negative
admonition	negative
adulterate	negative
adulteration	negative
adultery	negative
adversary	negative
adverse	negative
adversity	negative
affectation	negative
afflict	negative
affliction	negative
afraid	negative
against	negative
aggravate	negative
aggravation	negative
aggression	negative
aggressive	negative
aggressiveness	negative
aggressor	negative
aggrieve	negative
aghast	negative
agitate	negative
agitation	negative
agitator	negative
agonize	negative
agony	negative
ail	negative
ailment	negative
aimless	negative
alarm	negative
alarming	negative
alas	negative
alibi	negative
alien	negative
alienate	negative
alienation	negative
allegation	negative
allege	negative
aloof	negative
altercation	negative
ambiguity	negative
ambiguous	negative
ambivalent	negative
ambush	negative
amiss	negative
amputate	negative
anarchist	negative
anarchy	negative
anger	negative
angry	negative
anguish	negative
animosity	negative
annihilate	negative
annihilation	negative
annoy	negative
annoyance	negative
anomalous	negative
anomaly	negative
antagonism	negative
antagonist	negative
antagonistic	negative
antagonize	negative
anti-social	negative
antipathy	negative
antiquated	negative
antitrust	negative
anxiety	negative
anxious	negative
anxiousness	negative
apathetic	negative
apathy	negative
appall	negative
apprehension	negative
apprehensive	negative
arbitrary	negative
arduous	negative
argue	negative
argument	negative
arrest	negative
arrogance	negative
arrogant	negative
artificial	negative
ashamed	negative
assail	negative
assailant	negative
assassin	negative
assassinate	negative
assault	negative
astray	negative
asunder	negative
atrocious	negative
atrophy	negative
attack	negative
audacious	negative
audacity	negative
austere	negative
autocrat	negative
autocratic	negative
avarice	negative
avaricious	negative
avenge	negative
aversion	negative
avert	negative
avoid	negative
avoidance	negative
awful	negative
awkward	negative
awkwardness	negative
ax	negative
babble	negative
backward	negative
backwardness	negative
bad	negative
badly	negative
baffle	negative
bafflement	negative
bail	negative
bait	negative
balk	negative
banal	negative
bandit	negative
bane	negative
banish	negative
banishment	negative
bankrupt	negative
bankruptcy	negative
bar	negative
barbarian	negative
barbarous	negative
barren	negative
barrier	negative
bashful	negative
bastard	negative
battle	negative
battlefield	negative
beastly	negative
beat	negative
beg	negative
beggar	negative
behead	negative
belated	negative
belie	negative
belittle	negative
belligerent	negative
belt	negative
bereave	negative
bereavement	negative
bereft	negative
berserk	negative
beseech	negative
beset	negative
besiege	negative
betray	negative
betrayal	negative
beware	negative
bewilder	negative
bewilderment	negative
bit	negative
bitchy	negative
bite	negative
bitter	negative
bitterness	negative
bizarre	negative
blackmail	negative
blah	negative
blame	negative
bland	negative
blast	negative
blatant	negative
bleak	negative
blemish	negative
blind	negative
blindness	negative
block	negative
blockhead	negative
bloodshed	negative
bloodthirsty	negative
bloody	negative
blow	negative
blunder	negative
blunt	negative
blur	negative
blurt	negative
board	negative
boast	negative
boastful	negative
bogus	negative
boisterous	negative
bolt	negative
bomb	negative
bombard	negative
bombardment	negative
bondage	negative
boot	negative
bore	negative
boredom	negative
bother	negative
bothersome	negative
bound	negative
bout	negative
box	negative
brag	negative
brandish	negative
brat	negative
bravado	negative
brawl	negative
brazen	negative
breach	negative
break	negative
breakdown	negative
bribe	negative
bristle	negative
brittle	negative
broke	negative
broken-hearted	negative
brood	negative
bruise	negative
brusque	negative
brutality	negative
brute	negative
brutish	negative
buckle	negative
bug	negative
bullet	negative
bum	negative
bungle	negative
burden	negative
burdensome	negative
burglar	negative
burglary	negative
burn	negative
bury	negative
busybody	negative
butchery	negative
calamity	negative
callous	negative
cancel	negative
cancellation	negative
cancer	negative
cannibal	negative
cannon	negative
capital	negative
capitulate	negative
capricious	negative
capsize	negative
captive	negative
capture	negative
careen	negative
careless	negative
carelessness	negative
casualty	negative
cataclysm	negative
catastrophe	negative
catch	negative
cave	negative
censor	negative
censorship	negative
censure	negative
chafe	negative
challenge	negative
chaos	negative
chaotic	negative
charge	negative
chase	negative
chastise	negative
cheap	negative
cheapen	negative
cheater	negative
chide	negative
childish	negative
choke	negative
chore	negative
chronic	negative
circle	negative
clamor	negative
clamorous	negative
clash	negative
clatter	negative
clique	negative
clog	negative
close	negative
club	negative
clumsy	negative
clutter	negative
coarse	negative
coarseness	negative
cockiness	negative
cocky	negative
coerce	negative
coercion	negative
coercive	negative
cold	negative
collapse	negative
collide	negative
collision	negative
collusion	negative
colony	negative
combat	negative
combatant	negative
commiseration	negative
commit	negative
commoner	negative
commonplace	negative
commotion	negative
compel	negative
compete	negative
competition	negative
competitive	negative
competitor	negative
complain	negative
complaint	negative
complex	negative
complexity	negative
complicate	negative
complication	negative
complicity	negative
compulsion	negative
conceal	negative
conceit	negative
concern	negative
condemn	negative
condemnation	negative
condescending	negative
condescension	negative
confess	negative
confession	negative
confine	negative
confinement	negative
confiscate	negative
confiscation	negative
conflict	negative
confound	negative
confront	negative
confrontation	negative
confuse	negative
confusion	negative
congested	negative
congestion	negative
conspiracy	negative
conspirator	negative
conspire	negative
consternation	negative
constrain	negative
