term	valence	conditions	conditional expressions
greatest	positive	!isImmediatelyFollowedByANegativeOpinion+++!isImmediatelyFollowedByAPositiveOpinion	if(A && B){11} else {10}
greatness	positive	!isImmediatelyPrecededByANegation	11:12
grin	positive	!isImmediatelyPrecededByANegation	11:12
groovy	positive	!isImmediatelyPrecededByANegation	11:12
ground breaking	positive	!isImmediatelyPrecededByANegation	11:12
groundbreaking	positive	!isImmediatelyPrecededByANegation	11:12
gutsy	positive	!isImmediatelyPrecededByANegation	11:12
haha	positive		11
hahaha	positive		11
handy	positive	!isImmediatelyPrecededByANegation	11:12
happier	positive	isImmediatelyPrecededBySpecificTerm///couldn t be|couldnt be|never been|any|me|so much|myself	11|99
happiest	positive	!isImmediatelyPrecededByANegation	11:12
happy	positive	!isImmediatelyPrecededByANegation	11:12
has something for everyone	positive	!isImmediatelyPrecededByANegation	11:12
has you covered	positive	!isImmediatelyPrecededByANegation	11:12
have you covered	positive	!isImmediatelyPrecededByANegation	11:12
has to salute	positive	!isImmediatelyPrecededByANegation	11:12
have to salute	positive	!isImmediatelyPrecededByANegation	11:12
heavenly	positive	!isImmediatelyPrecededByANegation	11:12
heheh	positive		11
helped	positive	!isImmediatelyPrecededByANegation	11:12
helpful	positive	!isImmediatelyPrecededByANegation	11:12
helping	positive	!isImmediatelyPrecededByANegation	11:12
helps	positive	!isImmediatelyPrecededByANegation	11:12
hero	positive	!isImmediatelyPrecededByANegation	11:12
high quality	positive	!isImmediatelyPrecededByANegation	11:12
high quality	positive	!isImmediatelyPrecededByANegation	11:12
hilarious	positive	!isImmediatelyPrecededByANegation	11:12
hilarious	positive	!isImmediatelyPrecededByANegation	11:12
honest	positive	!isImmediatelyPrecededByANegation	11:12
honorable	positive	!isImmediatelyPrecededByANegation	11:12
honored	positive	!isImmediatelyPrecededByANegation	11:12
hope	positive	!isImmediatelyPrecededByANegation	11:12
hopes	positive	!isImmediatelyPrecededByANegation	11:12
hot	positive	!isPrecededBySpecificTerm///weather+++!isFollowedBySpecificTerm///weather+++!isImmediatelyPrecededByANegation	if (A && B && C) {11} else {10}
hottest	positive	!isImmediatelyPrecededByANegation	11:12
humble	positive	!isImmediatelyPrecededByANegation	11:12
humbled	positive	!isImmediatelyPrecededByANegation	11:12
hurray	positive		11
i like	positive	!isImmediatelyPrecededByANegation	11:12
ily	positive	!isImmediatelyPrecededByANegation	11:12
impressed	positive	!isImmediatelyPrecededByANegation	11:12
impressive	positive	!isImmediatelyPrecededByANegation	11:12
improve	positive	!isImmediatelyPrecededByANegation	11:12
improves	positive	!isImmediatelyPrecededByANegation	11:12
incisive	positive	!isImmediatelyPrecededByANegation	11:12
incredible	positive	!isImmediatelyPrecededByANegation+++!isImmediatelyFollowedByANegativeOpinion	if (A && B) {11} else {10}
informative	positive	!isImmediatelyPrecededByANegation	11:12
innovative	positive	!isImmediatelyPrecededByANegation	11:12
insightful	positive	!isImmediatelyPrecededByANegation	11:12
insightfully	positive	!isImmediatelyPrecededByANegation	11:12
inspiration	positive	!isImmediatelyPrecededByANegation	11:12
inspirations	positive	!isImmediatelyPrecededByANegation	11:12
inspired	positive	!isImmediatelyPrecededByANegation	11:12
inspiring	positive	!isImmediatelyPrecededByANegation	11:12
instantly	positive	!isImmediatelyPrecededByANegation	11:12
intelligent	positive	!isImmediatelyPrecededByANegation	11:12
interested	positive	!isImmediatelyPrecededByANegation	11:12
inventive	positive	!isImmediatelyPrecededByANegation	11:12
interesting	positive	!isImmediatelyPrecededByANegation	11:12
irresistible	positive	!isImmediatelyPrecededByANegation	11:12
jadore	positive		11
jokin	positive	!isImmediatelyPrecededByANegation	11:12
joking	positive	!isImmediatelyPrecededByANegation	11:12
jolly	positive	!isImmediatelyPrecededByANegation	11:12
joy	positive	!isImmediatelyPrecededByANegation	11:12
joyous	positive	!isImmediatelyPrecededByANegation	11:12
kawaii	positive	!isImmediatelyPrecededByANegation	11:12
kicked their butt	positive	!isImmediatelyPrecededByANegation	11:12
kicked your butt	positive	!isImmediatelyPrecededByANegation	11:12
kind	positive	isImmediatelyFollowedBySpecificTerm///of her|of him|of you	11
knighted	positive	!isImmediatelyPrecededByANegation	11:12
kudos	positive	!isImmediatelyPrecededByANegation	11:12
laugh	positive	!isImmediatelyPrecededByANegation+++!isImmediatelyFollowedBySpecificTerm///at	if (A && B) {11} else {12}
laughed	positive	!isImmediatelyPrecededByANegation	11:12
laughs	positive	!isImmediatelyPrecededByANegation	11:12
leg up	positive	!isImmediatelyPrecededByANegation	11:12
lets u 	positive	!isImmediatelyPrecededByANegation	11:12
let s you	positive	!isImmediatelyPrecededByANegation	11:12
leveraging	positive	!isImmediatelyPrecededByANegation	11:12
life saver	positive	!isImmediatelyPrecededByANegation	11:12
lightning fast	positive	!isImmediatelyPrecededByANegation	11:12
liked	positive	!isImmediatelyPrecededByANegation	11:12
liking	positive	!isImmediatelyPrecededByANegation	11:12
lit	positive	isPrecededBySpecificTerm///it's|its|it is	11:10
livesaver	positive	!isImmediatelyPrecededByANegation	11:12
lol	positive	!isImmediatelyPrecededByANegation	11:12
look forwad to	positive	!isImmediatelyPrecededByANegation	11:12
looking forward to	positive	!isImmediatelyPrecededByANegation	11:12
love	positive	!isImmediatelyPrecededByANegation	11:12
loved	positive	!isImmediatelyPrecededByANegation	11:12
lovely	positive	!isImmediatelyPrecededByANegation	11:12
loves	positive	!isImmediatelyPrecededByANegation	11:12
loving	positive	!isImmediatelyPrecededByANegation	11:12
loyal	positive	!isImmediatelyPrecededByANegation	11:12
luckily	positive	!isImmediatelyPrecededByANegation	11:12
lucky	positive	!isImmediatelyPrecededByANegation	11:12
lucky you	positive	!isImmediatelyPrecededByANegation	11:12
lush	positive	!isImmediatelyPrecededByANegation	11:12
luv	positive	!isImmediatelyPrecededByANegation	11:12
luv	positive		11
made my day	positive	!isImmediatelyPrecededByANegation	11:12
made my night	positive	!isImmediatelyPrecededByANegation	11:12
magic!	positive	!isImmediatelyPrecededByANegation	11:12
magnificent	positive	!isImmediatelyPrecededByANegation	11:12
magnifique	positive	!isImmediatelyPrecededByANegation	11:12
makes sense	positive	!isImmediatelyPrecededByANegation	11:12
mandem	positive	!isImmediatelyPrecededByANegation	11:10
marvelous	positive	!isImmediatelyPrecededByANegation	11:12
marvellous	positive	!isImmediatelyPrecededByANegation	11:12
means a lot	positive		11
meant a lot	positive		11
merry	positive	!isImmediatelyPrecededByANegation	11:12
mighty	positive	!isImmediatelyPrecededByANegation	11:12
mind blowing	positive	!isImmediatelyPrecededByANegation	11:12
mind blown	positive	!isImmediatelyPrecededByANegation	11:12
mindblowing	positive	!isImmediatelyPrecededByANegation	11:12
mindblown	positive	!isImmediatelyPrecededByANegation	11:12
moving	positive	isPrecededByStrongWord	11:10
mouth watering	positive	!isImmediatelyPrecededByANegation	11:12
muahah	positive		11
muahahah	positive		11
neat	positive	!isImmediatelyPrecededByANegation	11:12
nice	positive	!isImmediatelyPrecededByANegation	11:12
nicest	positive	!isImmediatelyPrecededByANegation	11:12
noble	positive	!isImmediatelyPrecededByANegation	11:12
nothing beats	positive		11
nutritious	positive	!isImmediatelyPrecededByANegation	11:12
one of the	positive	isImmediatelyFollowedBySpecificTerm///few|rare|only	11:10
outstanding	positive	!isImmediatelyPrecededByANegation	11:12
paradise	positive	!isImmediatelyPrecededByANegation	11:12
passion	positive	!isImmediatelyPrecededByANegation	11:12
passions	positive	!isImmediatelyPrecededByANegation	11:12
perfect	positive	!isImmediatelyPrecededByANegation+++!isImmediatelyFollowedByANegativeOpinion	if (A && B) {11} else {10}
perceptive	positive	!isImmediatelyPrecededByANegation	11:12
perfect Christmas present	positive	!isImmediatelyPrecededByANegation	11:12
perfect present	positive	!isImmediatelyPrecededByANegation	11:12
personable	positive	!isImmediatelyPrecededByANegation	11:12
phenomenal	positive	!isImmediatelyPrecededByANegation	11:12
pinnacle	positive	!isImmediatelyPrecededByANegation	11:12
pleasant	positive	!isImmediatelyPrecededByANegation	11:12
pleasantly	positive	!isImmediatelyPrecededByANegation	11:12
poignant	positive	!isImmediatelyPrecededByANegation	11:12
popular	positive	!isImmediatelyPrecededByANegation	11:12
possibilities	positive		11
prefect	positive	!isImmediatelyPrecededByANegation	11:12
prettiest	positive	!isImmediatelyPrecededByANegation	11:12
pretty	positive	!isImmediatelyPrecededByANegation+++!isImmediatelyFollowedByANegativeOpinion	if (A && B) {11} else if (A) {12} else {10}
prevent	positive	!isImmediatelyPrecededByANegation	11:12
prevents	positive	!isImmediatelyPrecededByANegation	11:12
professional	positive	!isImmediatelyPrecededByANegation+++isPrecededByStrongWord if (A && B) {11} else if (A) {12} else {10}	
profitable	positive	!isImmediatelyPrecededByANegation	11:12
proud	positive	!isImmediatelyPrecededByANegation	11:12
pumped	positive	!isImmediatelyPrecededByANegation	11:12
quality	positive	isPrecededByStrongWord	11:10
quick witted	positive	!isImmediatelyPrecededByANegation	11:12
racing with ideas	positive	!isImmediatelyPrecededByANegation	11:12
rad	positive	!isImmediatelyPrecededByANegation	11:12
recommend	positive	!isImmediatelyPrecededByANegation+++!isImmediatelyFollowedBySpecificTerm///to|doing+++!isFollowedByANegativeOpinion+++!isFollowedBySpecificTerm///before	if (A && B && C && D) {11} else if (A == 'false') {12} else {10}
refreshingly	positive	!IsImmediatelyFollowedByANegativeOpinion	12:10
reliable	positive	!isImmediatelyPrecededByANegation	11:12
relief	positive	!isImmediatelyPrecededByANegation	11:12
remarkable	positive	!isImmediatelyPrecededByANegation+++!isImmediatelyFollowedByANegativeOpinion+++isImmediatelyPrecededBySpecificTerm///a+++isPrecededByStrongWord	if (A && B && (C || D) {11} else {10}
refreshing change	positive		11:10
respect	positive	!isImmediatelyPrecededByANegation	11:12
respectful	positive	!isImmediatelyPrecededByANegation+++isPrecededByStrongWord	if(A && B) {11} else {12}
revolutionary	positive	!isImmediatelyPrecededByANegation	11:12
richest	positive	!isImmediatelyPrecededByANegation	11:12
road tested	positive	!isImmediatelyPrecededByANegation	11:12
rock	positive	isAllCaps	11
rock out	positive		11
rock solid	positive	!isImmediatelyFollowedByANegativeOpinion	11
rock!	positive	!isImmediatelyPrecededByANegation	11:12
rockin	positive	!isImmediatelyPrecededByANegation	11:12
safer	positive	!isImmediatelyPrecededByANegation	11:12
salute	positive		11
satisfied	positive	!isImmediatelyPrecededByANegation	11:12
satisfying	positive	!isImmediatelyPrecededByANegation	11:12
savoury	positive	!isImmediatelyPrecededByANegation	11:12
say hello	positive	!isImmediatelyPrecededByANegation	11:12
score!	positive	!isImmediatelyPrecededByANegation	11:12
seamless	positive	!isImmediatelyPrecededByANegation	11:12
sensational	positive	!isImmediatelyPrecededByANegation	11:12
sexiest	positive	!isImmediatelyPrecededByANegation	11:12
sheerly	positive	!isImmediatelyPrecededByANegation	11:12
shout out	positive	!isImmediatelyPrecededByANegation	11:12
shouts out	positive	!isImmediatelyPrecededByANegation	11:12
sleek	positive	!isImmediatelyPrecededByANegation	11:12
slick	positive	!isImmediatelyPrecededByANegation	11:12
smart	positive	!isImmediatelyPrecededByANegation	11:12
smile	positive	!isImmediatelyPrecededByANegation	11:12
smoothly	positive	!isImmediatelyPrecededByANegation	11:12
so true	positive	!isImmediatelyPrecededByANegation	11:12
solid	positive	!isImmediatelyPrecededByANegation+++!isImmediatelyFollowedByANegativeOpinion	if (A && B) {11} else {10}
solutions	positive	!isImmediatelyPrecededByANegation	11:12
sordid	positive	!isImmediatelyPrecededByANegation	11:12
soulful	positive	!isImmediatelyPrecededByANegation	11:12
speedy	positive	!isImmediatelyPrecededByANegation	11:12
spell	positive	isImmediatelyPrecededBySpecificTerm///his|her|their|its	11:10
splendid	positive	!isImmediatelyPrecededByANegation	11:12
sporty	positive	!isImmediatelyPrecededByANegation	11:12
stars!	positive	!isImmediatelyPrecededByANegation	11:12
steadfast	positive	!isImmediatelyPrecededByANegation	11:12
still rocking	positive	!isImmediatelyPrecededByANegation	11:12
strengthening	positive	!isImmediatelyPrecededByANegation	11:12
stunning	positive	!isImmediatelyPrecededByANegation	11:12
stunningly	positive	!isImmediatelyPrecededByANegation	11:12
style	positive	!isImmediatelyPrecededByANegation	11:12
succesful	positive	!isImmediatelyPrecededByANegation	11:12
success	positive	!isImmediatelyPrecededByANegation	11:12
successful	positive	!isImmediatelyPrecededByANegation	11:12
successfully	positive	!isImmediatelyPrecededByANegation	11:12
succulent	positive	!isImmediatelyPrecededByANegation	11:12
suitable	positive	!isImmediatelyPrecededByANegation	11:12
sunshine	positive	!isImmediatelyPrecededByANegation	11:12
suped up	positive	!isImmediatelyPrecededByANegation	11:12
super	positive	!isImmediatelyFollowedByAnOpinion	11:10
superb	positive	!isImmediatelyPrecededByANegation	11:12
superbly	positive	!isImmediatelyFollowedByAnOpinion	11:10
sweet	positive	!isImmediatelyPrecededByANegation	11:12
swell	positive	!isImmediatelyPrecededByANegation+++!isImmediatelyFollowedBySpecificTerm///up+++!isPrecededBySpecificTerm///head|lips|lip|chest|arm|foot|feet|hand|hands|finger|fingers|thumb|thumbs|toe|toes|neck|knee|belly|thigh|leg|legs|chick|chicks|ear|ears|tongue|elbow	if (A && B && C) {11} else {10}
talented	positive	!isImmediatelyPrecededByANegation	11:12
tasteful	positive	!isImmediatelyPrecededByANegation	11:12
tasty	positive	!isImmediatelyPrecededByANegation	11:12
terrific	positive	!isImmediatelyPrecededByANegation	11:12
thank	positive	!isImmediatelyPrecededByANegation	11:12
thank you	positive	!isImmediatelyPrecededByANegation	11:12
thankfully	positive		11
thanks	positive	!isImmediatelyPrecededByANegation	11:12
thanx	positive	!isImmediatelyPrecededByANegation	11:12
that worked	positive	!isImmediatelyPrecededByANegation	11:12
the best	positive	!isImmediatelyPrecededByANegation	11
the easiest way to	positive	!isImmediatelyPrecededByANegation	11:12
the way 2 go	positive	!isImmediatelyPrecededByANegation	11:12
the way to go	positive	!isImmediatelyPrecededByANegation	11:12
thrilled	positive	!isImmediatelyPrecededByANegation	11:12
thumbs up	positive		11
thx	positive	!isImmediatelyPrecededByANegation	11:12
to life	positive	isPrecededBySpecificTerm///brings|bring|brought	11
toothsome	positive		11
top of	positive	!isImmediatelyPrecededByANegation	11:12
tops	positive	!isImmediatelyPrecededByANegation	11:12
touching	positive	isPrecededByStrongWord	11:10
tremendous	positive	isPrecededBySpecificTerm///would be+++ isImmediatelyFollowedBySpecificTerm///job|effort|growth|efforts|hit|hits|benefit|benefits|piece|potential|talent	if (A || B) {11} else {0}
unswerving	positive		11
unwavering	positive		11
useful	positive	!isImmediatelyPrecededByANegation	11:12
user-friendly	positive	!isImmediatelyPrecededByANegation	11:12
valuable	positive	!isImmediatelyPrecededByANegation	11:12
values	positive	!isImmediatelyPrecededByANegation	11:12
very well	positive	!isImmediatelyPrecededByANegation	11:12
warms my	positive		11
watchable	positive	isPrecededByStrongWord	11:10
welcome	positive	!isImmediatelyPrecededByANegation	11:12
welcoming	positive	!isImmediatelyPrecededByANegation+++isPrecededByStrongWord	if (A && B) {11} else if (A == 'false') {12} else {10}
welcomes	positive		11
well	positive	!isImmediatelyPrecededByANegation+++isPrecededByStrongWord	if (A && B) {11} else if (A == 'false') {12} else {10}
well done	positive	!isImmediatelyPrecededByANegation	11:12
wholesome	positive	!isImmediatelyPrecededByANegation	11:12
wonderful	positive	!isImmediatelyPrecededByANegation	11:12
wondrous	positive	!isImmediatelyPrecededByANegation	11:12
woohoo	positive		11
woot	positive		11
worth a read	positive	!isImmediatelyPrecededByANegation	11:12
worth it	positive	!isImmediatelyPrecededByANegation	11:12
wow	positive	!isImmediatelyPrecededByANegation	11:12
wuhu	positive		11
xoxo	positive		11
yay	positive		11
yay	positive	!isImmediatelyPrecededByANegation	11:12
yeah!	positive		11
yes	positive	isAllCaps	11
yummy	positive	!isImmediatelyPrecededByANegation	11:12
yum	positive	!isImmediatelyPrecededByANegation	11:12
*sigh*	negative		12
@$$	negative		12
a butt	negative	isPrecededBySpecificTerm///is|are|be	12:10
a joke	negative		12
a pity	negative	!isImmediatelyPrecededByANegation	12:10
abandoned	negative	!isImmediatelyPrecededByANegation	12:10
abhor	negative		12
abhore	negative		12
abject	negative		12
abominable	negative		12
abominate	negative		12
absurd	negative	!isImmediatelyPrecededByANegation	12:10
abysmal	negative		12
accidentally	negative		12
accused of	negative	!isImmediatelyPrecededByANegation	12:10
ache	negative	!isImmediatelyPrecededByANegation	12:10
aching	negative	!isImmediatelyPrecededByANegation	12:10
afraid	negative	!isImmediatelyPrecededByANegation	12:10
again	negative	isPrecededBySpecificTerm///never	12:10
again ...	negative		12
again...	negative		12
agh	negative		12
aholes	negative		12
alarming	negative	!isImmediatelyPrecededByANegation	12:10
aloof	negative	!isImmediatelyPrecededByANegation	12:10
amateurish	negative	!isImmediatelyPrecededByANegation	12:10
angry	negative	!isImmediatelyPrecededByANegation	12:10
angst	negative	!isImmediatelyPrecededByANegation	12:10
annoyed	negative	!isImmediatelyPrecededByANegation	12:10
annoying	negative	!isImmediatelyPrecededByANegation	12:10
annoyingly	negative		12
annoys	negative	!isImmediatelyPrecededByANegation	12:10
apathetic	negative		12
apologist	negative	!isImmediatelyPrecededByANegation	12:10
apologists	negative	!isImmediatelyPrecededByANegation	12:10
appalled	negative		12
arbitrary	negative	!isFollowedBySpecificTerm///number	12:10
are down	negative		12
arg	negative		12
argh	negative		12
arrogance	negative	!isImmediatelyPrecededByANegation	12:10
arrogant	negative	!isImmediatelyPrecededByANegation	12:10
ashamed	negative	!isImmediatelyPrecededByANegation	12:10
ass	negative	!isPrecededBySpecificTerm///bad|cool+++!isImmediatelyPrecededByANegation	if(A && B) {12} else {11}
asses	negative		12
asshole	negative	!isImmediatelyPrecededByANegation	12:10
assholes	negative	!isImmediatelyPrecededByANegation	12:10
at odd	negative	!isImmediatelyPrecededByANegation	12:10
